name,resident_advisor_url,appearances,venues,latest_event,energy,experimental,melodic,dark,organic,vocal,depth,classic,genres,scenes,moods,description,similar_artists,soundcloud_url,spotify_id
Eltron,https://ra.co/events/2172216,1,Kulturraum Zwingli Kirche e.V.,2025-05-18T00:00:00.000,0.13,0.54,0.7,0.11,0.45,0.24,0.45,0.8,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Hannes Teichmann,https://ra.co/events/2172216,1,Kulturraum Zwingli Kirche e.V.,2025-05-18T00:00:00.000,0.01,0.25,0.53,0.31,0.05,0.89,0.15,0.62,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Robot Girl,https://ra.co/events/2128701,2,Minimal Bar,2025-05-19T00:00:00.000,0.63,0.18,0.18,0.41,0.42,0.68,0.18,0.28,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
P.Toile,https://ra.co/events/2169102,1,Klunkerkranich,2025-05-19T00:00:00.000,0.98,0.66,0.44,0.56,0.24,0.97,0.2,0.5,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Nikolucky,https://ra.co/events/2173788,1,Minimal Bar,2025-05-19T00:00:00.000,0.31,0.67,0.87,0.66,0.91,0.56,0.53,0.69,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Disguised,https://ra.co/events/2152211,1,OXI,2025-05-20T00:00:00.000,0.21,0.76,0.07,0.49,0.34,0.11,0.59,0.45,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Inverse Element,https://ra.co/events/2152211,1,OXI,2025-05-20T00:00:00.000,0.61,0.53,0.69,0.22,0.14,0.24,0.59,0.82,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
DJ PERIODT,https://ra.co/events/2152211,1,OXI,2025-05-20T00:00:00.000,0.64,0.94,0.32,0.9,0.08,0.06,0.95,0.46,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
GLIA,https://ra.co/events/2152211,1,OXI,2025-05-20T00:00:00.000,0.04,0.57,0.59,0.26,0.87,0.9,0.08,0.97,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Ivan Iacobucci,https://ra.co/events/2163450,1,Club der Visionaere,2025-05-20T00:00:00.000,0.85,0.62,0.78,0.33,0.16,0.73,0.4,0.59,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Stella Fiore,https://ra.co/events/2163450,1,Club der Visionaere,2025-05-20T00:00:00.000,0.74,0.99,0.81,0.7,0.84,0.59,0.88,0.39,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Kamyar Keramati,https://ra.co/events/2163450,2,"Club der Visionaere, Kaos Berlin",2025-05-20T00:00:00.000,0.23,0.51,0.82,0.69,0.23,0.9,0.18,0.06,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Orli,https://ra.co/events/2163450,1,Club der Visionaere,2025-05-20T00:00:00.000,0.8,0.31,0.33,0.64,0.0,0.17,0.61,0.97,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Bonza,https://ra.co/events/2163450,1,Club der Visionaere,2025-05-20T00:00:00.000,0.01,0.25,0.94,0.92,0.21,0.08,0.54,0.77,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Nat SuPrise,https://ra.co/events/2150630,1,Der Weiße Hase,2025-05-20T00:00:00.000,0.3,0.9,0.11,0.6,0.02,0.84,0.13,0.2,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Daniel Boon,https://ra.co/events/2150630,1,Der Weiße Hase,2025-05-20T00:00:00.000,0.27,0.12,0.26,0.76,0.2,0.46,0.43,0.23,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
DarK LiZZ,https://ra.co/events/2150630,1,Der Weiße Hase,2025-05-20T00:00:00.000,0.51,0.16,0.58,0.3,0.05,0.75,0.54,0.15,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Lobo (DE),https://ra.co/events/2153743,1,Süss War Gestern,2025-05-20T00:00:00.000,0.83,0.49,0.18,0.61,0.54,0.18,0.95,0.43,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Lena Brumby,https://ra.co/events/2157941,1,://about blank,2025-05-20T00:00:00.000,0.77,0.65,0.99,0.74,0.28,0.28,0.48,0.09,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
N'djinn,https://ra.co/events/2157941,1,://about blank,2025-05-20T00:00:00.000,0.81,0.8,0.81,0.24,0.63,0.35,0.07,0.88,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Microhm,https://ra.co/events/2169932,2,Bar Neun,2025-05-20T00:00:00.000,0.97,0.26,0.48,0.85,0.15,0.87,0.94,0.25,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Bilwa,https://ra.co/events/2169932,2,Bar Neun,2025-05-20T00:00:00.000,0.48,0.99,0.23,0.16,0.46,0.69,0.99,0.62,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Flip Marlou,https://ra.co/events/2128702,1,Minimal Bar,2025-05-20T00:00:00.000,0.44,0.28,0.31,0.57,0.05,0.12,0.74,0.55,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Arkan,https://ra.co/events/2071720,1,Lokschuppen Berlin,2025-05-21T00:00:00.000,0.28,0.73,0.98,0.23,0.22,0.74,0.03,0.31,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
SUE (AT),https://ra.co/events/2071720,1,Lokschuppen Berlin,2025-05-21T00:00:00.000,0.49,0.39,0.76,0.94,0.39,0.92,0.3,0.27,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
ENJA,https://ra.co/events/2071720,1,Lokschuppen Berlin,2025-05-21T00:00:00.000,0.95,0.17,0.92,0.9,0.27,0.94,0.44,0.54,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
AVO2X,https://ra.co/events/2071720,1,Lokschuppen Berlin,2025-05-21T00:00:00.000,0.85,0.84,0.47,0.1,0.09,0.61,0.02,0.8,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
PETDuo,https://ra.co/events/2125449,1,AVA Club,2025-05-21T00:00:00.000,0.46,0.34,0.67,0.51,0.66,0.37,0.08,0.7,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Ilyas S,https://ra.co/events/2125449,1,AVA Club,2025-05-21T00:00:00.000,0.84,0.09,0.38,0.71,0.49,0.12,0.63,0.65,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Khloe,https://ra.co/events/2125449,1,AVA Club,2025-05-21T00:00:00.000,0.55,0.7,0.59,0.6,0.11,0.95,0.33,0.2,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
STELLA BOSSI,https://ra.co/events/2166251,1,KitKatClub,2025-05-21T00:00:00.000,0.2,0.78,0.59,0.87,0.82,0.97,0.35,0.53,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
DJ Jordan,https://ra.co/events/2166251,2,"KitKatClub, Void Club",2025-05-21T00:00:00.000,0.73,0.61,0.85,0.15,0.09,0.62,0.22,1.0,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
C'mon,https://ra.co/events/2166251,1,KitKatClub,2025-05-21T00:00:00.000,0.37,0.33,0.79,0.01,0.17,0.21,0.76,0.27,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Fernando De Matos,https://ra.co/events/2166251,1,KitKatClub,2025-05-21T00:00:00.000,0.72,0.43,0.83,0.17,0.27,0.33,0.43,0.95,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Bonq,https://ra.co/events/2166251,1,KitKatClub,2025-05-21T00:00:00.000,0.28,0.99,0.09,0.94,0.53,0.61,0.77,0.29,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Sebastian Ludvig,https://ra.co/events/2166251,1,KitKatClub,2025-05-21T00:00:00.000,0.62,0.2,0.83,0.39,0.61,0.65,0.25,0.01,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Kiar Oscuro,https://ra.co/events/2166251,2,"KitKatClub, TBA - Secret Location",2025-05-21T00:00:00.000,0.05,0.77,0.57,0.46,0.8,0.11,0.22,0.09,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Orion,https://ra.co/events/2166251,1,KitKatClub,2025-05-21T00:00:00.000,0.15,0.07,0.61,0.25,0.12,0.59,0.84,0.82,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Amanda Mussi,https://ra.co/events/2171001,1,Giri,2025-05-21T00:00:00.000,0.4,0.3,0.15,0.77,0.31,0.36,0.97,0.23,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Parallx,https://ra.co/events/2171001,1,Giri,2025-05-21T00:00:00.000,0.16,0.13,0.69,0.89,0.93,0.1,0.61,0.24,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Rill,https://ra.co/events/2171001,1,Giri,2025-05-21T00:00:00.000,0.09,0.45,0.97,0.37,0.9,0.68,0.5,0.24,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
TONI BA,https://ra.co/events/2171001,1,Giri,2025-05-21T00:00:00.000,0.18,0.12,0.82,0.02,0.78,0.89,0.56,0.91,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
VINVAR,https://ra.co/events/2171001,1,Giri,2025-05-21T00:00:00.000,0.66,0.71,0.53,0.03,0.28,0.75,0.75,0.97,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
VSK,https://ra.co/events/2171001,2,"Giri, Revier Südost",2025-05-21T00:00:00.000,0.2,0.73,0.19,0.62,0.86,0.69,0.26,0.69,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Picasso,https://ra.co/events/2140485,1,Club der Visionaere,2025-05-21T00:00:00.000,0.05,0.3,0.82,0.55,0.04,0.1,0.99,0.03,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Francesco Salvadori,https://ra.co/events/2140485,1,Club der Visionaere,2025-05-21T00:00:00.000,0.48,0.6,0.06,0.14,0.42,0.38,0.33,0.52,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Basse Frequenze Soundsystem,https://ra.co/events/2140485,1,Club der Visionaere,2025-05-21T00:00:00.000,0.03,0.13,0.86,0.45,0.96,0.0,0.06,0.79,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Johnson (2),https://ra.co/events/2140485,1,Club der Visionaere,2025-05-21T00:00:00.000,0.81,0.21,0.69,0.69,0.78,0.62,0.48,0.67,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Mara Menace,https://ra.co/events/2140312,1,Tresor / Globus,2025-05-21T00:00:00.000,0.87,0.33,0.41,0.64,0.36,0.2,0.31,0.25,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Sira,https://ra.co/events/2140312,1,Tresor / Globus,2025-05-21T00:00:00.000,0.44,0.01,0.36,0.83,0.05,0.31,0.87,0.65,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Tizian [GER],https://ra.co/events/2140312,1,Tresor / Globus,2025-05-21T00:00:00.000,0.07,0.8,0.53,1.0,0.89,0.73,0.06,0.73,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Vxlr,https://ra.co/events/2140312,1,Tresor / Globus,2025-05-21T00:00:00.000,0.72,0.58,0.65,0.13,0.94,0.47,0.13,0.62,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Miss Italia,https://ra.co/events/2140312,1,Tresor / Globus,2025-05-21T00:00:00.000,0.98,0.07,0.76,0.55,0.56,0.37,0.25,0.18,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
DJ Dripcore,https://ra.co/events/2157946,1,://about blank,2025-05-21T00:00:00.000,0.19,0.78,0.66,0.82,0.03,0.14,0.07,0.35,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Lifka,https://ra.co/events/2157946,1,://about blank,2025-05-21T00:00:00.000,0.03,0.72,0.03,0.74,0.28,0.07,0.1,0.63,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
THNTS,https://ra.co/events/2157946,1,://about blank,2025-05-21T00:00:00.000,0.62,0.09,0.02,0.12,0.89,0.21,0.13,0.82,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
